Category A (Formatting): 0
Category B (Precise): 22
Category C (Mismatch): 122
CRASH: 0

Category C mismatches:
test603 | Exp: O(n*m) | Act: Overall time complexity of function test603 is O(nm).
test609 | Exp: O(n*m) | Act: Overall time complexity of function test609 is O(nm).
test611 | Exp: O(n+m) | Act: Overall time complexity of function test611 is O(m + n).
test619 | Exp: O(n*m) | Act: Overall time complexity of function test619 is O(nm).
test621 | Exp: O(n) | Act: Overall time complexity of function test621 is Unknown.
test622 | Exp: O(n) | Act: Overall time complexity of function test622 is Unknown.
test623 | Exp: O(n+m) | Act: Overall time complexity of function test623 is O(m + n).
test624 | Exp: O(n*m) | Act: Overall time complexity of function test624 is O(ef).
test632 | Exp: O(n+m) | Act: Overall time complexity of function test632 is O(m + n).
test633 | Exp: O(n+m) | Act: Overall time complexity of function test633 is O(m + n).
test634 | Exp: O(n+m+r) | Act: Overall time complexity of function test634 is O(m + n + r).
test637 | Exp: O(n^2) | Act: Overall time complexity of function test637 is O(n┬▓).
test652 | Exp: O(n) | Act: Overall time complexity of function test652 is O(e).
test653 | Exp: O(e*f) | Act: Overall time complexity of function test653 is O(e + f).
test654 | Exp: O(n*m) | Act: Overall time complexity of function test654 is O(m + n).
test656 | Exp: O(n*m*r) | Act: Overall time complexity of function test656 is O(nmr).
test658 | Exp: O(n^3) | Act: Overall time complexity of function test658 is O(n┬│).
test659 | Exp: O(k^2) | Act: Overall time complexity of function test659 is O(k┬▓).
test660 | Exp: O(n*log(n)) | Act: Overall time complexity of function test660 is O(n log n).
test661 | Exp: O(log(n)*log(m)) | Act: Overall time complexity of function test661 is O(log┬▓ n).
test662 | Exp: O(n+m+r+t) | Act: Overall time complexity of function test662 is O(m + n + r + t).
test663 | Exp: O(n*m*r*t) | Act: Overall time complexity of function test663 is O(nmrt).
test664 | Exp: O(log(n)*log(m)) | Act: Overall time complexity of function test664 is O(log┬▓ n).
test665 | Exp: O(log(n)*log(m)) | Act: Overall time complexity of function test665 is O(log┬▓ n).
test666 | Exp: O(log(n)*log(m)) | Act: Overall time complexity of function test666 is O(log┬▓ n).
test667 | Exp: O(log(n)*log(n)) | Act: Overall time complexity of function test667 is O(log┬▓ n).
test668 | Exp: O(log(n)*log(m)) | Act: Overall time complexity of function test668 is O(log┬▓ n).
test669 | Exp: O(n*log(n)*log(m)) | Act: Overall time complexity of function test669 is O(n log┬▓ n).
test670 | Exp: O(n+m+r+t) | Act: Overall time complexity of function test670 is O(m + n + r + t).
test672 | Exp: O(n+m+r+t) | Act: Overall time complexity of function test672 is O(m + n + r + t).
test673 | Exp: O(n+m+r+t) | Act: Overall time complexity of function test673 is O(m + n + r + t).
test675 | Exp: O(n*m*r*t) | Act: Overall time complexity of function test675 is O(nmrt).
test676 | Exp: O(a*b*c*d) | Act: Overall time complexity of function test676 is O(abcd).
test677 | Exp: O(n*m*r*t) | Act: Overall time complexity of function test677 is O(nmrt).
test678 | Exp: O(n*m*r*t) | Act: Overall time complexity of function test678 is O(m + n + r + t).
test679 | Exp: O(n*m) | Act: Overall time complexity of function test679 is O(mmp).
test680 | Exp: O(n*m) | Act: Overall time complexity of function test680 is O(mst).
test681 | Exp: O(n*log(n)) | Act: Overall time complexity of function test681 is O(st log st).
test682 | Exp: O(n^2) | Act: Overall time complexity of function test682 is O(mp┬▓).
test683 | Exp: O(n+m) | Act: Overall time complexity of function test683 is O(mp + st).
test684 | Exp: O(n+m) | Act: Overall time complexity of function test684 is Unknown.
test685 | Exp: O(n+m) | Act: Overall time complexity of function test685 is Unknown.
test686 | Exp: O(n+m) | Act: Overall time complexity of function test686 is O(m + n).
test687 | Exp: O(n+m) | Act: Overall time complexity of function test687 is O(m + n).
test688 | Exp: O(n+m+r) | Act: Overall time complexity of function test688 is O(m + n + r).
test689 | Exp: O(n+m) | Act: Overall time complexity of function test689 is Unknown.
test690 | Exp: O(n+m) | Act: Overall time complexity of function test690 is O(m + n).
test691 | Exp: O(n+m) | Act: Overall time complexity of function test691 is O(m + n).
test693 | Exp: O(n+m) | Act: Overall time complexity of function test693 is O(m + n).
test695 | Exp: O(n^2) | Act: Overall time complexity of function test695 is O(n┬▓).
test698 | Exp: O(n*m) | Act: Overall time complexity of function test698 is O(nm).
test701 | Exp: O(n^2) | Act: Overall time complexity of function test701 is O(n┬▓).
test705 | Exp: O(n^2) | Act: Overall time complexity of function test705 is O(n).
test713 | Exp: Unknown | Act: Overall time complexity of function test713 is O(n).
test714 | Exp: Unknown | Act: Overall time complexity of function test714 is O(n).
